id,time,Y
1,1,0
1,2,0
1,3,0
1,4,0
1,5,1
1,6,1
1,7,1
1,8,0
1,9,0
1,10,0
1,11,0
1,12,2
1,13,2
1,14,1
1,15,1
1,16,0
1,17,1
1,18,0
1,19,0
1,20,1
1,21,0
1,22,0
1,23,0
1,24,0
1,25,1
1,26,0
1,27,1
1,28,0
1,29,0
1,30,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,2
2,13,0
2,14,0
2,15,0
2,16,0
2,17,1
2,18,0
2,19,2
2,20,0
2,21,9
2,22,3
2,23,0
2,24,55
2,25,0
2,26,0
2,27,30
2,28,0
2,29,0
2,30,20
3,1,0
3,2,1
3,3,1
3,4,1
3,5,1
3,6,1
3,7,1
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,1
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,1
3,25,0
3,26,0
3,27,0
3,28,0
3,29,0
3,30,0
4,1,0
4,2,0
4,3,0
4,4,1
4,5,0
4,6,0
4,7,0
4,8,1
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
4,25,0
4,26,2
4,27,1
4,28,0
4,29,0
4,30,0
5,1,3
5,2,1
5,3,1
5,4,0
5,5,1
5,6,0
5,7,0
5,8,1
5,9,1
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,3
5,17,0
5,18,0
5,19,0
5,20,0
5,21,3
5,22,0
5,23,1
5,24,0
5,25,1
5,26,1
5,27,0
5,28,0
5,29,0
5,30,0
6,1,0
6,2,2
6,3,2
6,4,1
6,5,0
6,6,1
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,1
6,14,0
6,15,1
6,16,0
6,17,0
6,18,0
6,19,0
6,20,0
6,21,1
6,22,0
6,23,0
6,24,0
6,25,0
6,26,0
6,27,0
6,28,2
6,29,1
6,30,0
7,1,0
7,2,0
7,3,3
7,4,0
7,5,0
7,6,1
7,7,0
7,8,0
7,9,0
7,10,1
7,11,1
7,12,1
7,13,0
7,14,0
7,15,1
7,16,0
7,17,0
7,18,0
7,19,0
7,20,0
7,21,1
7,22,0
7,23,1
7,24,0
7,25,1
7,26,0
7,27,0
7,28,4
7,29,1
7,30,1
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
8,13,0
8,14,0
8,15,0
8,16,0
8,17,0
8,18,0
8,19,0
8,20,0
8,21,0
8,22,0
8,23,0
8,24,0
8,25,0
8,26,1
8,27,0
8,28,0
8,29,1
8,30,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,1
9,7,0
9,8,0
9,9,0
9,10,0
9,11,0
9,12,0
9,13,0
9,14,1
9,15,0
9,16,0
9,17,0
9,18,0
9,19,0
9,20,0
9,21,0
9,22,0
9,23,0
9,24,0
9,25,0
9,26,0
9,27,0
9,28,0
9,29,0
9,30,0
10,1,0
10,2,0
10,3,1
10,4,0
10,5,0
10,6,1
10,7,1
10,8,1
10,9,0
10,10,0
10,11,0
10,12,0
10,13,1
10,14,1
10,15,0
10,16,0
10,17,0
10,18,0
10,19,2
10,20,1
10,21,1
10,22,0
10,23,1
10,24,1
10,25,0
10,26,0
10,27,0
10,28,0
10,29,0
10,30,0
11,1,2
11,2,2
11,3,1
11,4,1
11,5,0
11,6,0
11,7,0
11,8,2
11,9,0
11,10,2
11,11,0
11,12,1
11,13,1
11,14,4
11,15,1
11,16,1
11,17,0
11,18,0
11,19,0
11,20,1
11,21,1
11,22,3
11,23,2
11,24,2
11,25,1
11,26,2
11,27,0
11,28,1
11,29,1
11,30,0
12,1,1
12,2,1
12,3,0
12,4,0
12,5,0
12,6,2
12,7,0
12,8,2
12,9,1
12,10,2
12,11,1
12,12,2
12,13,0
12,14,0
12,15,3
12,16,0
12,17,1
12,18,0
12,19,0
12,20,0
12,21,5
12,22,1
12,23,5
12,24,0
12,25,2
12,26,0
12,27,0
12,28,2
12,29,1
12,30,0
13,1,3
13,2,1
13,3,0
13,4,1
13,5,1
13,6,1
13,7,2
13,8,1
13,9,1
13,10,1
13,11,2
13,12,1
13,13,1
13,14,2
13,15,2
13,16,1
13,17,1
13,18,4
13,19,1
13,20,2
13,21,1
13,22,4
13,23,2
13,24,1
13,25,3
13,26,2
13,27,0
13,28,1
13,29,0
13,30,2
14,1,0
14,2,1
14,3,3
14,4,2
14,5,0
14,6,2
14,7,1
14,8,0
14,9,2
14,10,2
14,11,0
14,12,0
14,13,1
14,14,2
14,15,2
14,16,1
14,17,1
14,18,0
14,19,1
14,20,1
14,21,0
14,22,3
14,23,1
14,24,1
14,25,0
14,26,2
14,27,1
14,28,1
14,29,0
14,30,1
15,1,0
15,2,0
15,3,0
15,4,0
15,5,0
15,6,0
15,7,0
15,8,0
15,9,0
15,10,0
15,11,0
15,12,2
15,13,0
15,14,0
15,15,0
15,16,0
15,17,0
15,18,0
15,19,0
15,20,0
15,21,0
15,22,0
15,23,0
15,24,0
15,25,0
15,26,0
15,27,0
15,28,0
15,29,0
15,30,0
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,0
16,9,0
16,10,0
16,11,0
16,12,0
16,13,0
16,14,0
16,15,1
16,16,1
16,17,0
16,18,0
16,19,1
16,20,0
16,21,1
16,22,1
16,23,0
16,24,1
16,25,0
16,26,0
16,27,1
16,28,1
16,29,0
16,30,2
17,1,1
17,2,0
17,3,2
17,4,1
17,5,2
17,6,1
17,7,0
17,8,0
17,9,0
17,10,0
17,11,1
17,12,0
17,13,1
17,14,2
17,15,0
17,16,0
17,17,1
17,18,1
17,19,0
17,20,0
17,21,0
17,22,0
17,23,0
17,24,0
17,25,0
17,26,1
17,27,0
17,28,0
17,29,0
17,30,0
18,1,0
18,2,0
18,3,0
18,4,1
18,5,0
18,6,0
18,7,0
18,8,0
18,9,1
18,10,0
18,11,0
18,12,2
18,13,0
18,14,0
18,15,0
18,16,0
18,17,0
18,18,0
18,19,0
18,20,1
18,21,0
18,22,0
18,23,0
18,24,0
18,25,0
18,26,0
18,27,0
18,28,0
18,29,0
18,30,0
19,1,0
19,2,0
19,3,0
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0
19,9,0
19,10,0
19,11,0
19,12,0
19,13,0
19,14,0
19,15,0
19,16,0
19,17,0
19,18,0
19,19,0
19,20,0
19,21,0
19,22,0
19,23,0
19,24,0
19,25,0
19,26,0
19,27,0
19,28,2
19,29,0
19,30,0
20,1,5
20,2,2
20,3,1
20,4,4
20,5,2
20,6,0
20,7,7
20,8,1
20,9,1
20,10,4
20,11,2
20,12,3
20,13,0
20,14,2
20,15,2
20,16,8
20,17,1
20,18,6
20,19,2
20,20,2
20,21,5
20,22,4
20,23,3
20,24,2
20,25,2
20,26,0
20,27,2
20,28,4
20,29,8
20,30,6
21,1,1
21,2,5
21,3,13
21,4,0
21,5,1
21,6,0
21,7,0
21,8,6
21,9,1
21,10,1
21,11,0
21,12,0
21,13,1
21,14,4
21,15,0
21,16,1
21,17,0
21,18,1
21,19,4
21,20,1
21,21,0
21,22,4
21,23,0
21,24,2
21,25,0
21,26,4
21,27,7
21,28,0
21,29,1
21,30,1
22,1,0
22,2,0
22,3,0
22,4,0
22,5,1
22,6,2
22,7,0
22,8,1
22,9,0
22,10,0
22,11,1
22,12,1
22,13,0
22,14,1
22,15,1
22,16,0
22,17,2
22,18,0
22,19,1
22,20,0
22,21,0
22,22,0
22,23,2
22,24,0
22,25,0
22,26,0
22,27,1
22,28,0
22,29,1
22,30,0
23,1,3
23,2,0
23,3,1
23,4,0
23,5,0
23,6,1
23,7,1
23,8,0
23,9,0
23,10,1
23,11,1
23,12,2
23,13,0
23,14,1
23,15,1
23,16,0
23,17,0
23,18,1
23,19,0
23,20,0
23,21,0
23,22,0
23,23,1
23,24,1
23,25,0
23,26,0
23,27,0
23,28,0
23,29,1
23,30,0
24,1,0
24,2,0
24,3,0
24,4,0
24,5,0
24,6,0
24,7,0
24,8,1
24,9,0
24,10,0
24,11,0
24,12,0
24,13,1
24,14,0
24,15,3
24,16,1
24,17,0
24,18,1
24,19,0
24,20,0
24,21,0
24,22,0
24,23,0
24,24,0
24,25,0
24,26,0
24,27,1
24,28,0
24,29,0
24,30,0
25,1,0
25,2,0
25,3,1
25,4,1
25,5,0
25,6,0
25,7,0
25,8,0
25,9,0
25,10,0
25,11,0
25,12,0
25,13,0
25,14,0
25,15,0
25,16,1
25,17,0
25,18,0
25,19,0
25,20,0
25,21,0
25,22,0
25,23,0
25,24,0
25,25,0
25,26,0
25,27,1
25,28,0
25,29,0
25,30,0
26,1,0
26,2,0
26,3,0
26,4,0
26,5,0
26,6,0
26,7,0
26,8,0
26,9,0
26,10,0
26,11,0
26,12,0
26,13,0
26,14,0
26,15,0
26,16,0
26,17,0
26,18,0
26,19,0
26,20,0
26,21,0
26,22,0
26,23,0
26,24,0
26,25,0
26,26,0
26,27,0
26,28,0
26,29,0
26,30,0
27,1,0
27,2,0
27,3,0
27,4,0
27,5,0
27,6,1
27,7,0
27,8,1
27,9,0
27,10,1
27,11,0
27,12,2
27,13,1
27,14,0
27,15,0
27,16,0
27,17,0
27,18,0
27,19,0
27,20,0
27,21,0
27,22,1
27,23,0
27,24,0
27,25,0
27,26,1
27,27,0
27,28,0
27,29,2
27,30,0
28,1,1
28,2,1
28,3,0
28,4,0
28,5,1
28,6,0
28,7,1
28,8,0
28,9,1
28,10,4
28,11,1
28,12,1
28,13,1
28,14,0
28,15,1
28,16,1
28,17,1
28,18,0
28,19,0
28,20,1
28,21,1
28,22,2
28,23,0
28,24,1
28,25,0
28,26,0
28,27,0
28,28,0
28,29,1
28,30,0
29,1,0
29,2,0
29,3,0
29,4,0
29,5,0
29,6,0
29,7,0
29,8,0
29,9,0
29,10,0
29,11,1
29,12,0
29,13,0
29,14,0
29,15,0
29,16,0
29,17,0
29,18,1
29,19,0
29,20,0
29,21,0
29,22,0
29,23,0
29,24,0
29,25,0
29,26,0
29,27,0
29,28,0
29,29,0
29,30,1
30,1,0
30,2,0
30,3,0
30,4,0
30,5,0
30,6,0
30,7,0
30,8,0
30,9,0
30,10,0
30,11,0
30,12,0
30,13,0
30,14,3
30,15,0
30,16,0
