id,time,y,median,piLower,piUpper,censored
1,60.2706,0.0936,0.0596026,0.000446602,0.331206,0
1,65.786,0.1533,0.136659,0.00310887,0.524848,0
1,67.1988,0.1785,0.163732,0.0055258,0.586115,0
1,68.9157,0.205,0.213511,0.00937518,0.671777,0
1,73.2716,0.3368,0.350887,0.0378499,0.863224,0
1,76.6833,0.4701,0.477077,0.0814601,0.942821,0
2,54.7534,-0.0148,0.0226055,3.15585e-05,0.213844,0
2,64.2221,0.0465,0.103786,0.00121754,0.451464,0
2,68.2182,0.0963,0.196749,0.00630902,0.661623,0
2,68.6036,0.1425,0.207412,0.00699385,0.676153,0
2,77.0042,0.4774,0.501463,0.0709257,0.945226,0
2,78.4639,0.5422,0.565591,0.105764,0.967244,0
2,79.9464,0.6216,0.618771,0.146542,0.978928,0
3,61.3778,0.0976,0.0742863,0.00117241,0.372385,0
3,61.4056,0.1064,0.0745338,0.00118077,0.373095,0
3,61.8904,0.1057,0.0817658,0.00133691,0.387843,0
3,63.3323,0.1188,0.107594,0.00193374,0.430601,0
3,70.7757,0.2204,0.281724,0.0161,0.825319,0
3,75.4875,0.3304,0.464929,0.0531679,0.939119,0
3,77.3866,0.38,0.536473,0.0802443,0.963218,0
4,62.2931,0.2874,0.084864,0.00163667,0.39327,0
4,65.1686,0.4157,0.131131,0.00481537,0.549415,0
4,66.7014,0.5098,0.163606,0.00693457,0.633197,0
4,69.8336,0.6904,0.253421,0.0160353,0.784594,0
4,73.2783,0.819,0.37231,0.0398142,0.911196,0
5,62.3789,0.0581,0.0889834,0.000972419,0.380024,0
5,62.8927,0.0441,0.0944372,0.00110908,0.398884,0
5,66.0412,0.0812,0.151797,0.00356263,0.522751,0
5,68.7449,0.1253,0.228097,0.00792382,0.668472,0
5,69.6957,0.1363,0.255842,0.0106787,0.728869,0
5,81.1627,0.4497,0.638343,0.158975,0.985713,0
5,81.5075,0.4778,0.652743,0.172367,0.986845,0
6,51.3491,0.0321,0.0115527,2.13328e-05,0.169686,0
6,52.6741,0.0243,0.0144551,3.85115e-05,0.18771,0
6,65.7768,0.7575,0.14731,0.00414241,0.551629,0
6,67.5642,0.8641,0.190929,0.00841854,0.618178,0
6,70.4416,0.9246,0.276409,0.0211097,0.79114,0
6,75.3987,0.9992,0.452631,0.0656768,0.939527,0
6,79.1034,0.9981,0.608257,0.144572,0.981439,0
6,80.8876,0.9935,0.674123,0.203462,0.988983,0
7,60.7814,0.2111,0.0673407,0.000780866,0.362267,0
7,61.5569,0.241,0.0764075,0.00100246,0.387911,0
7,64.7481,0.3703,0.117987,0.0031579,0.502316,0
7,67.6332,0.5225,0.184401,0.00787811,0.636276,0
7,74.8856,0.8048,0.441986,0.0562283,0.897399,0
7,80.116,0.9283,0.638622,0.162232,0.975561,0
7,84.2767,0.9523,0.779552,0.291753,0.992483,0
8,53.3615,0.1351,0.0168819,4.25878e-05,0.175018,0
8,54.7512,0.1646,0.0218051,7.97677e-05,0.198485,0
8,55.989,0.2048,0.0274652,0.000142581,0.21875,0
8,72.0323,0.8602,0.329379,0.0382244,0.853526,0
8,80.8232,0.9806,0.685217,0.206021,0.988355,0
8,80.9992,0.9696,0.695387,0.21639,0.988934,0
8,84.2734,0.9777,0.792578,0.373512,0.995645,0
8,85.8264,0.9823,0.834271,0.427754,0.997475,0
9,61.8442,0.2199,0.0739937,0.000799583,0.401444,0
9,64.1586,0.3201,0.105785,0.00187791,0.508089,0
9,65.6344,0.3814,0.131408,0.00289428,0.573831,0
9,69.2442,0.5837,0.222595,0.00938447,0.77711,0
9,74.5514,0.8192,0.392756,0.044888,0.943482,0
10,61.0442,0.0786,0.0682142,0.000925536,0.385218,0
10,65.9714,0.1036,0.148643,0.0042247,0.613068,0
10,66.0268,0.1203,0.150205,0.00429923,0.614757,0
10,70.8579,0.2034,0.291374,0.0200868,0.809676,0
10,73.71,0.2296,0.388179,0.0416493,0.894812,0
10,76.3568,0.2728,0.500449,0.0888503,0.950025,0
10,76.7929,0.2892,0.518059,0.0953762,0.959403,0
10,82.7266,0.4003,0.732804,0.265747,0.992508,0
11,58.9208,0.0552,0.0549938,0.00015341,0.301652,0
11,59.9438,0.0487,0.0640339,0.000222482,0.336563,0
11,63.2919,0.1783,0.108001,0.000907128,0.455521,0
11,76.1945,0.9804,0.470143,0.0643851,0.948235,0
11,79.3327,0.9989,0.592106,0.163376,0.973332,0
12,52.7435,0.0062,0.0154695,1.19559e-05,0.169804,0
12,56.2069,0.0167,0.0284438,5.58461e-05,0.219069,0
12,62.233,0.03,0.0828024,0.000809151,0.390167,0
12,67.2039,0.0802,0.177318,0.00450817,0.596633,0
12,68.3164,0.1024,0.205046,0.00568978,0.657171,0
12,72.8042,0.2103,0.34046,0.0254569,0.856842,0
12,79.9407,0.4818,0.621995,0.134231,0.979503,0
13,63.5853,0.0477,0.1085,0.000770849,0.482383,0
13,65.5303,0.1137,0.140357,0.00163085,0.568079,0
13,66.126,0.1143,0.155395,0.00198997,0.589776,0
13,68.1675,0.1845,0.21137,0.00430743,0.699334,0
13,71.2814,0.3681,0.305878,0.0144683,0.826674,0
13,72.1323,0.4133,0.328901,0.0190003,0.862595,0
13,76.3583,0.704,0.47979,0.0637506,0.956118,0
13,76.3758,0.6837,0.480424,0.0640987,0.956281,0
14,59.5414,0.0184,0.0444435,0.000336756,0.335599,0
14,61.0421,0.0353,0.056506,0.000548532,0.370183,0
14,61.9724,0.0447,0.0659949,0.000756411,0.400276,0
14,65.9464,0.1622,0.125372,0.00353707,0.590656,0
14,73.8038,0.8085,0.374996,0.0352309,0.896823,0
14,77.8069,0.9619,0.530009,0.0893686,0.96389,0
14,79.9397,0.9699,0.609081,0.13592,0.978496,0
14,80.6411,0.9781,0.635395,0.151103,0.982689,0
15,57.763,0.0136,0.0495709,0.000378949,0.261126,0
15,59.2576,0.0025,0.0612624,0.000741383,0.305623,0
15,61.1538,-0.0031,0.082497,0.0014532,0.36192,0
15,62.724,0.0044,0.104408,0.00236821,0.43328,0
15,71.1975,0.0364,0.313303,0.024153,0.80831,0
15,72.354,0.0454,0.355373,0.0361012,0.84822,0
15,78.7535,0.1838,0.595454,0.155288,0.971799,0
15,82.2963,0.3558,0.731276,0.284544,0.990867,0
15,82.4116,0.3539,0.735955,0.289823,0.991162,0
16,61.073,0.3811,0.0708359,0.000375017,0.413623,0
16,63.143,0.4557,0.0990695,0.000870783,0.509878,0
16,63.7033,0.4963,0.109016,0.00113085,0.530212,0
16,64.2093,0.5336,0.117932,0.00142551,0.548245,0
16,67.1378,0.6383,0.176329,0.00421706,0.661002,0
16,72.3983,0.792,0.335361,0.0274212,0.864317,0
16,76.5949,0.8924,0.501854,0.0707278,0.956489,0
16,80.3742,0.9593,0.653894,0.156287,0.984333,0
16,81.7036,0.9548,0.694903,0.195152,0.989311,0
17,58.1294,0.0229,0.0404356,0.000289963,0.276928,0
17,58.899,0.0154,0.0452848,0.000385925,0.295398,0
17,59.557,0.0111,0.0501987,0.000516444,0.313293,0
17,63.5321,0.055,0.0987452,0.00196975,0.456478,0
17,67.801,0.1546,0.182829,0.00707874,0.652987,0
